"Yr","Area","Count"
2002,1,1200
2002,2,53
2002,3,6193
2002,4,4327
2003,1,1050
2003,2,1186
2003,3,5935
2003,4,3060
2003,5,11790
2003,6,2900
2004,1,1522
2004,2,68
2004,3,5140
2004,4,3605
2004,5,745
2004,6,1241
2005,1,3000
2005,2,10
2005,3,3650
2005,4,6530
2005,5,4898
2005,6,801
2006,1,3007
2006,2,69
2006,3,1870
2006,4,4650
2006,5,3304
2006,6,2404
2007,1,1815
2007,2,331
2007,3,2410
2007,4,8
2007,5,7800
2007,6,3310
2008,1,534
2008,2,1508
2008,3,4660
2008,4,509
2008,5,6397
2008,6,1540
2009,1,202
2009,2,12
2009,3,1900
2009,4,470
2009,5,6550
2009,6,880
2010,1,700
2010,2,60
2010,3,2900
2010,4,943
2010,5,375
2010,6,3400
2011,1,755
2011,2,21
2011,3,2800
2011,4,3900
2011,5,2470
2011,6,3140
2012,1,2300
2012,2,19
2012,3,3420
2012,4,5140
2012,5,515
2012,6,1850
2013,1,5530
2013,2,24
2013,3,1800
2013,4,4114
2013,5,55
2013,6,1500
2014,1,150
2014,2,5
2014,3,3015
2014,4,3280
2014,5,440
2014,6,2440
2015,1,270
2015,2,1952
2015,3,1309
2015,4,4860
2015,5,115
2015,6,1810
