"Yr","arrival","sigma"
1993,124.345166197129,6.53483148174324
1994,122.175187604326,8.48698217196398
1995,123.363173282435,7.15900859889662
1996,120.134335979338,7.0355343580805
1997,118.866473569442,7.18955336538194
1998,122.049402113385,8.20416941900576
1999,120.16724180893,6.77337415257662
2000,122.360065628666,7.80865105837992
2001,123.132192660211,8.92801555802812
2002,122.93136423604,8.21988824083897
2003,122.577085866167,11.9653791599139
2004,120.773155625019,9.45792253235434
2005,125.03447882774,11.264725623082
2006,118.088461780071,6.79023431016221
2007,121.556408528171,6.86640932342139
2008,118.442398275967,12.6106274384962
2009,121.777915769553,10.2131433793929
2010,123.110045995426,7.44058337097471
2011,122.583557959634,6.92685221292405
2012,122.368586202679,6.90342595005284
2013,124.331481708182,9.23580140791098
2014,118.503184520806,7.91192792712218
2015,123.272957451924,7.07564162899356
2016,118.317909505156,6.66087471567339
