"Yr","Fuelling_slope_males","Fuelling_slope_females"
1996,5.42203376172339,6.34144542660123
1997,6.05434702420822,6.2690765453525
1998,6.06753377731882,6.74815151780183
1999,5.20539529385604,5.77152670448743
2000,4.23190053628135,4.97162666221909
2001,4.08116837063972,4.7669072541903
2002,4.28819933348053,5.0496320589747
2003,6.63984972568627,7.22972206416044
2004,5.91178669058073,6.862754763872
2005,4.68258746237826,4.90474044222351
2006,5.76794458087365,6.92379029498201
2007,6.32609526256474,8.22589666745225
2008,4.78214222830403,5.64254265986495
2009,5.25105739486186,5.38164738391593
2010,4.98064218911022,5.84168669746635
2011,5.80845021281271,6.60479741044878
2012,6.23099945015463,7.24197742580524
2013,5.7750367135759,6.96511074257559
2014,5.69874507321279,6.73453778131069
2015,7.998804560908,8.2398053978969
2016,6.41340130017756,7.05793624623644
