"Yr","Date50","jdate50"
1982,1982-06-19 22:18:27,170
1983,1983-06-22 00:24:00,173
1984,1984-06-17 16:24:00,169
1985,1985-06-15 09:23:04,166
1986,1986-06-25 11:35:59,176
1987,1987-07-06 02:00:00,187
1988,1988-06-04 14:00:00,156
1989,1989-06-26 03:36:00,177
1990,1990-06-05 18:48:00,156
1991,1991-06-19 16:46:09,170
1992,1992-06-28 22:00:00,180
1993,1993-06-17 07:03:09,168
1994,1994-06-30 19:44:20,181
1995,1995-06-29 10:00:00,180
1996,1996-06-30 02:00:00,182
1997,1997-06-10 02:00:00,161
1998,1998-06-23 14:55:23,174
1999,1999-06-13 16:24:00,164
2000,2000-06-16 18:56:28,168
2001,2001-06-13 15:20:00,164
2002,2002-06-18 14:00:00,169
2003,2003-06-19 14:00:00,170
2004,2004-06-20 16:24:00,172
2005,2005-06-28 23:00:00,179
2006,2006-06-19 10:43:38,170
2007,2007-06-14 21:12:00,165
2008,2008-06-20 02:00:00,172
2009,2009-06-12 21:38:10,163
2010,2010-06-08 02:00:00,159
2011,2011-06-07 02:00:00,158
2012,2012-06-07 00:40:00,159
2013,2013-06-03 02:00:00,154
2014,2014-06-14 18:00:00,165
2015,2015-06-04 04:24:00,155
2016,2016-06-10 00:00:00,162
